"Theta [deg]","dB(SystemGainELCHP) [] - Freq='28GHz' Phi='0deg'","dB(SystemGainELCHP) [] - Freq='28GHz' Phi='90deg'","dB(SystemGainERHCP) [] - Freq='28GHz' Phi='0deg'","dB(SystemGainERHCP) [] - Freq='28GHz' Phi='90deg'"
-1,8.34451628193843,8.34376815329377,-38.0341228752538,-37.641267201888
0,8.35684306237825,8.35684306237826,-37.712355280228,-37.7123552802278
1,8.34090708770812,8.34175951169361,-37.6920500460385,-37.5858217526092
2,8.29665815691817,8.29847204694783,-37.9560840896404,-37.2723536348686
3,8.22394768352216,8.22683740712102,-38.4945645896082,-36.7857421962771
4,8.12252544272243,8.12661138833961,-39.2823861854276,-36.1442391968318
5,7.99203404641418,7.99744346464824,-40.2203124492538,-35.3720086697759
6,7.83200090533309,7.83886893260903,-41.0050017211992,-34.4983394812479
7,7.64182731746205,7.65029822902247,-41.0486461220331,-33.5545907128113
8,7.4207741730759,7.43100292582573,-39.9490101381617,-32.5705130314288
9,7.16794357577321,7.18009772006536,-38.0621029078839,-31.5715347129135
10,6.88225542623698,6.89651749111403,-35.9704302505864,-30.5775842780926
11,6.56241767338875,6.57898816509299,-33.9767996965942,-29.6031710064315
12,6.20688846471133,6.22598966795636,-32.1688613876817,-28.6581591725075
13,5.81382776118107,5.83570860368759,-30.5509729333895,-27.7487651936258
14,5.3810350255481,5.40597736957263,-29.1038208368099,-26.8785049844625
15,4.90586819232961,4.93419506980026,-27.8044304648031,-26.0489789361554
16,4.38513703564469,4.41722357467626,-26.6319144989132,-25.2604744658642
17,3.81496085478885,3.85124900296335,-25.5686424299622,-24.5124072931667
18,3.19057539342915,3.23159411085188,-24.6000570386815,-23.8036348143741
19,2.50606585652121,2.5524593790321,-23.714172049655,-23.1326738988536
20,1.7539895266889,1.80655786523686,-22.901066818108,-22.4978497532801
21,0.92482851121913,0.984587097812856,-22.1524602247657,-21.8973961675998
22,0.00617202686416666,0.0744424423368147,-21.4613722393759,-21.3295219712736
23,-1.01854956707243,-0.939996165745425,-20.8218609872333,-20.7924542503192
24,-2.17211005378233,-2.08081535980953,-20.2288197779336,-20.2844657154825
25,-3.48696866701252,-3.37937033168576,-19.6778202872635,-19.8038913479532
26,-5.01159610534933,-4.88224064941227,-19.1649908679448,-19.349137855875
27,-6.82298415723691,-6.66289126340957,-18.6869215469456,-18.918688365294
28,-9.05437438065749,-8.84715804824952,-18.2405893469285,-18.5111040007776
29,-11.9676735630141,-11.6783679396407,-17.8232991557792,-18.1250234803741
30,-16.1988921515167,-15.7295198583582,-17.432636550938,-17.7591614837339
31,-24.1310057727206,-22.9751094219793,-17.0664298602719,-17.4123063001174
32,-28.9082636144387,-29.9921053963038,-16.7227193887067,-17.0833170894324
33,-18.4516191261799,-18.9783414112459,-16.3997322214328,-16.7711209701531
34,-13.8904829264835,-14.2050241399152,-16.0958613757082,-16.4747100662965
35,-11.030293867208,-11.2527437688,-15.8096483471104,-16.1931385901552
36,-8.98127670887475,-9.1524038128888,-15.5397683061835,-15.9255200002998
37,-7.41003869757054,-7.54834184109864,-15.2850173646804,-15.6710242500473
38,-6.15527576363982,-6.27068656088514,-15.0443014590103,-15.4288751263473
39,-5.12657668635619,-5.22504367155882,-14.8166265005811,-15.1983476702194
40,-4.26811473628067,-4.35348663965163,-14.6010895245071,-14.9787656655983
41,-3.54295526581607,-3.61786999150341,-14.3968706339296,-14.7694991823584
42,-2.92535995516457,-2.99170856152094,-14.2032255900405,-14.5699621603997
43,-2.39664851102049,-2.45583654419029,-14.0194789400789,-14.3796100242293
44,-1.94281092988582,-1.99591468908337,-13.8450176087859,-14.1979373209076
45,-1.55305082147193,-1.60091541052593,-13.6792849044181,-14.0244753780876
46,-1.21885556570362,-1.26215890342563,-13.521774909577,-13.8587899828183
47,-0.93338004732027,-0.972676061312985,-13.3720272408081,-13.700479085532
48,-0.691025076282178,-0.726773678278077,-13.2296221700663,-13.5491705369918
49,-0.487141076816685,-0.519729469936141,-13.0941761065863,-13.404519868777
50,-0.317814891124666,-0.347573033125748,-12.965337440202,-13.2662081300531
51,-0.179713218906596,-0.206925249239094,-12.8427827474462,-13.1339397948416
52,-0.0699655631030744,-0.0948783828768723,-12.7262133604629,-13.007440754776
53,0.0139246900481537,-0.00890511594714601,-12.6153522964233,-12.886456412427
54,0.0741487811774765,0.053211457117396,-12.5099415422227,-12.7707498897556
55,0.112646033562851,0.0934323930698562,-12.4097396861062,-12.6601003651892
56,0.13114603615354,0.11350591499336,-12.3145198848216,-12.554301551298
57,0.131202268766874,0.115001669934866,-12.2240681521207,-12.4531603231833
58,0.114219148068808,0.0993382608468546,-12.1381819520548,-12.3564955055714
59,0.0814739561980897,0.0678055525004837,-12.0566690786165,-12.2641368243357
60,0.0341347457183901,0.0215828723246588,-11.9793468018808,-12.1759240258383
61,-0.0267249513815612,-0.0382460461602156,-11.9060412598859,-12.0917061651667
62,-0.100113977493525,-0.110680729385875,-11.8365870750319,-12.0113410621107
63,-0.185113476859761,-0.194793739036201,-11.7708271737059,-11.9346949216361
64,-0.280868515283963,-0.28972216679026,-11.7086127881116,-11.8616421137025
65,-0.386581092019642,-0.394660542040106,-11.6498036198213,-11.7920651055783
66,-0.501504305772155,-0.508854909600373,-11.5942681453249,-11.7258545383444
67,-0.624937484376884,-0.631597883183417,-11.5418840447715,-11.6629094380556
68,-0.756222124567843,-0.762224518139337,-11.4925387361337,-11.6031375510607
69,-0.894738516950449,-0.900108876346992,-11.4461299981452,-11.5464557922495
70,-1.03990295377156,-1.04466117917159,-11.4025666665329,-11.4927907945072
71,-1.1911654347768,-1.19532546254941,-11.3617693892682,-11.4420795473938
72,-1.34800780043943,-1.35157766262562,-11.323671427785,-11.3942701130206
73,-1.50994223295577,-1.51292407179398,-11.2882194923426,-11.3493224072568
74,-1.67651007425736,-1.67890011410779,-11.2553746009505,-11.3072090347485
75,-1.84728091737372,-1.84906939634387,-11.2251129525122,-11.267916166763
76,-2.02185193317184,-2.02302299689028,-11.197426806094,-11.2314444515655
77,-2.19984739909603,-2.20037895939646,-11.1723253594773,-11.1978099478805
78,-2.38091840027276,-2.38078196201154,-11.149835621422,-11.1670450729778
79,-2.56474267641819,-2.56390313623423,-11.1300032733427,-11.1391995580315
80,-2.75102459054447,-2.74944001205908,-11.1128935173983,-11.1143414046299
81,-2.93949519762697,-2.93711656835429,-11.098591909305,-11.0925578376385
82,-3.12991239326844,-3.12668336934461,-11.0872051755189,-11.0739562510363
83,-3.32206112405569,-3.31791776977959,-11.0788620157859,-11.0586651448448
84,-3.51575364281385,-3.51062417290671,-11.0737138934372,-11.0468350528302
85,-3.71082979336892,-3.70463432678911,-11.0719358172098,-11.0386394622896
86,-3.90715731076747,-3.89980764584588,-11.0737271198082,-11.0342757289085
87,-4.10463212419523,-4.09603154577479,-11.0793122398823,-11.0339659914059
88,-4.30317865109736,-4.29322178125745,-11.0889415156074,-11.037958092458
89,-4.50275007223492,-4.49132277705179,-11.102891999599,-11.0465265142079
90,-4.70332857860773,-4.69030794424333,-11.1214683065054,-11.0599733385457
91,-4.90492558231946,-4.89017997454339,-11.1450035063015,-11.0786292442629
92,-5.10758188453216,-5.09097110657213,-11.1738600780728,-11.1028545551867
93,-5.31136779462496,-5.29274335901877,-11.2084309409546,-11.1330403554701
94,-5.5163831954955,-5.49558872640002,-11.2491405808899,-11.1696096903864
95,-5.72275755057745,-5.69962933379718,-11.2964462940278,-11.2130188732647
96,-5.9306498485377,-5.90501754739603,-11.3508395699103,-11.2637589216133
97,-6.14024848169827,-6.11193603782182,-11.412847640129,-11.3223571480397
98,-6.35177105392465,-6.32059779308647,-11.4830352208778,-11.3893789342776
99,-6.5654641129454,-6.53124607736375,-11.5620064807998,-11.4654297194753
100,-6.78160280070846,-6.74415433067931,-11.6504072687087,-11.5511572368308
101,-7.00049041330986,-6.9596260028252,-11.748927639114,-11.6472540356107
102,-7.22245785908922,-7.17799431222656,-11.8583047168891,-11.7544603283938
103,-7.4478629994776,-7.39962191691163,-11.9793259457136,-11.8735672057697
104,-7.67708985185929,-7.62490047991725,-12.1128327677532,-12.0054202622663
105,-7.91054762676068,-7.85425010508858,-12.2597247838804,-12.1509236772412
106,-8.14866956271542,-8.08811861089951,-12.420964443689,-12.3110447917443
107,-8.39191151068101,-8.32698059911027,-12.5975823111963,-12.4868192151252
108,-8.64075020527737,-8.57133626112092,-12.7906829432008,-12.6793564806498
109,-8.89568114159976,-8.82170984691318,-13.0014513991944,-12.8898462432099
110,-9.15721595295333,-9.0786476983926,-13.2311603688966,-13.1195649675314
111,-9.42587915536155,-9.34271571934049,-13.4811778469739,-13.3698829813914
112,-9.70220408765253,-9.61449611627704,-13.7529751902752,-13.6422716484096
113,-9.98672782958369,-9.89458319609466,-14.0481352386142,-13.9383102224342
114,-10.2799848228207,-10.1835779446049,-14.3683599301682,-14.2596916383723
115,-10.5824988484441,-10.4820810318673,-14.7154764399806,-14.6082260056957
116,-10.8947729278302,-10.7906837915526,-15.0914402233452,-14.9858397942725
117,-11.2172766094675,-11.1099565985474,-15.4983323075499,-15.3945674675507
118,-11.550429981911,-11.4404339176587,-15.9383465077949,-15.8365303543323
119,-11.8945836145581,-11.7825951139945,-16.413759563757,-16.313894428225
120,-12.2499934798992,-12.1368399029875,-16.9268728933805,-16.8287937146886
121,-12.6167897684505,-12.5034570825055,-17.4799077908958,-17.3831982617497
122,-12.9949383998835,-12.8825849513091,-18.0748250411585,-17.9786935734416
123,-13.3841940125605,-13.2741616202469,-18.7130231617692,-18.6161204092748
124,-13.7840433643433,-13.677863345917,-19.3948447836433,-19.2949987216679
125,-14.1936385337905,-14.0930292017311,-20.118787688438,-20.0126293855917
126,-14.6117202680065,-14.5185710768374,-20.8802827221493,-20.7627454238946
127,-15.0365335436189,-14.952869504163,-21.6698941208908,-21.533612355629
128,-15.4657401986283,-15.3936586388908,-22.4708998886336,-22.305655592967
129,-15.8963376312856,-15.8379083988627,-23.2565936751953,-23.0492001230588
130,-16.3245981131561,-16.2817188192227,-23.9885494390234,-23.7238923102398
131,-16.7460497616928,-16.7202510720753,-24.6184478120545,-24.2824694409756
