"Theta [deg]","dB(AxialRatioValue) [] - Freq='28GHz' Phi='0deg'","dB(AxialRatioValue) [] - Freq='28GHz' Phi='90deg'"
-82,7.20309227394301,7.26778782495001
-81,7.01907542937858,7.07639250236309
-80,6.83938026564928,6.88992628497875
-79,6.66418013618194,6.70850746717675
-78,6.49362388487579,6.53223505830469
-77,6.327838594512,6.36119105156539
-76,6.16693220544212,6.19544258484654
-75,6.01099602338253,6.03504401251092
-74,5.86010713526314,5.88003890661802
-73,5.71433075236987,5.73046200589951
-72,5.57372250062196,5.58634113115132
-71,5.43833067887258,5.44769908662722
-70,5.30819850775664,5.31455556863004
-69,5.18336639399474,5.18692910492729
-68,5.06387423839136,5.06483905203452
-67,4.94976382028018,4.94830768203265
-66,4.84108129718758,4.83736239670641
-65,4.73787986642272,4.73203811480728
-64,4.6402226457246,4.6323798886963
-63,4.54818584376726,4.53844582024784
-62,4.46186230929583,4.45031036371758
-61,4.38136557139531,4.36806812671206
-60,4.30683451491876,4.29183831142983
-59,4.23843887729529,4.2217699797802
-58,4.1763858099064,4.15804838183054
-57,4.12092782488157,4.10090266307315
-56,4.07237255517448,4.05061537069422
-55,4.03109490496472,4.00753432491092
-54,3.99755237806526,3.97208762737617
-53,3.97230467357675,3.94480287346794
-52,3.95603907634635,3.92633206383419
-51,3.94960381753228,3.91748434397862
-50,3.95405255538276,3.91926965410142
-49,3.97070462309028,3.93295783562879
-48,4.00122804038893,3.96016004003316
-47,4.04775606706305,4.00294298616637
-46,4.11305433322129,4.0639927360234
-45,4.20076626262461,4.14685511432375
-44,4.31578340319232,4.25629839663931
-43,4.46482211495481,4.3988779935446
-42,4.6573554297338,4.58384880371216
-41,4.90718674400389,4.82470584546129
-40,5.23525397489207,5.14192932932756
-39,5.67497227038483,5.56821433074769
-38,6.28333071609454,6.15933071343771
-37,7.16678475725603,7.0194525534024
-36,8.55273556005979,8.3710158822396
-35,11.048903257209,10.8075713976792
-34,17.3309508576332,16.9230654809354
-33,19.0982990139323,19.0538488145157
-32,5.07571089998065,4.28953019688313
-31,10.3506581422303,10.2946132229952
-30,19.0896707216381,18.2893717467344
-29,9.11547870738597,8.8735032159513
-28,5.99095440077727,5.85894249875039
-27,4.35600433459872,4.27784138473977
-26,3.33794098533664,3.29378004378591
-25,2.64122651836958,2.62150645187463
-24,2.13466364154292,2.13397645520471
-23,1.75037061498795,1.76532670085025
-22,1.44949549544817,1.47780624131596
-21,1.20813524965912,1.24816163047252
-20,1.01075994925709,1.06126818576848
-19,0.846840315860322,0.906859831605264
-18,0.708989384297637,0.777725426361166
-17,0.591878516274813,0.668655698630058
-16,0.491575304990595,0.575799216618302
-15,0.4051238365904,0.496253020743372
-14,0.330270965680379,0.427793815418256
-13,0.265285201211339,0.368696498751448
-12,0.208839258987778,0.317608684385798
-11,0.159945098495539,0.273462055457987
-10,0.117953329421178,0.235408379897039
-9,0.0826875144924219,0.202772068899546
-8,0.0549817523669284,0.17501346107857
-7,0.0382023265834773,0.151698261524413
-6,0.0370924611002252,0.132469370440418
-5,0.0467347200529854,0.117018578020733
-4,0.0586279813367558,0.105058500725688
-3,0.0692793490634205,0.0963002852979268
-2,0.0776284281657468,0.0904475995830373
-1,0.0833519333064822,0.0872160038367377
0,0.0863749809073669,0.0863749809073669
1,0.0867361327882087,0.0877948289274712
2,0.0845688881971017,0.0914759719433066
3,0.080153367070981,0.0975483408603236
4,0.0740630090256064,0.106244678875845
5,0.0674884047609532,0.117863235744988
6,0.0628052666030362,0.1327371026707
